Year;WMI;Brand;ModelName;distinct_users;distinct_requests
2018;Y4f;FORD;Escort FA 1995-2001;1;1
2018;Y4F;NOT FOUND;NOT FOUND;1;1
2018;y4k;NOT FOUND;NOT FOUND;151;322
2018;y4r;NOT FOUND;NOT FOUND;1;1
2018;y5d;NOT FOUND;NOT FOUND;3;4
2018;y5u;NOT FOUND;NOT FOUND;1;2
2018;Y5Y;NOT FOUND;NOT FOUND;2;3
2018;Y60;NOT FOUND;NOT FOUND;3;6
2018;y6d;NOT FOUND;NOT FOUND;325;717
2018;y6l;NOT FOUND;NOT FOUND;3;3
2018;y6o;NOT FOUND;NOT FOUND;1;4
2018;y6y;NOT FOUND;NOT FOUND;1;1
2018;y7b;NOT FOUND;NOT FOUND;2;2
2018;Y8d;NOT FOUND;NOT FOUND;1;1
2018;ya1;NOT FOUND;NOT FOUND;1;1
2018;yar;NOT FOUND;NOT FOUND;2;3
2018;YB1;NOT FOUND;NOT FOUND;6;12
2018;YBW;NOT FOUND;NOT FOUND;1;3
2018;yc1;NOT FOUND;NOT FOUND;1;1
2018;ycm;FORD;Fiesta DX 1995-2002;4;5
2018;YCM;NOT FOUND;NOT FOUND;1;1
2018;YDW;NOT FOUND;NOT FOUND;1;3
2018;YE2;NOT FOUND;NOT FOUND;2;2
2018;YE3;NOT FOUND;NOT FOUND;3;13
2018;yf1;NOT FOUND;NOT FOUND;1;1
2018;yf3;NOT FOUND;NOT FOUND;5;8
2018;YGD;NOT FOUND;NOT FOUND;1;1
2018;YH2;NOT FOUND;NOT FOUND;1;6
2018;yHL;NOT FOUND;NOT FOUND;1;1
2018;YM1;NOT FOUND;NOT FOUND;1;1
2018;ym3;NOT FOUND;NOT FOUND;1;1
2018;YMB;NOT FOUND;NOT FOUND;1;1
2018;ymf;NOT FOUND;NOT FOUND;1;1
2018;YMT;NOT FOUND;NOT FOUND;1;1
2018;ymz;NOT FOUND;NOT FOUND;1;4
2018;yn1;NOT FOUND;NOT FOUND;1;1
2018;yn8;NOT FOUND;NOT FOUND;1;1
2018;YNK;NOT FOUND;NOT FOUND;1;2
2018;YS2;NOT FOUND;NOT FOUND;9;10
2018;YS3;NOT FOUND;NOT FOUND;141;334
2018;ys4;NOT FOUND;NOT FOUND;3;10
2018;YSA;NOT FOUND;NOT FOUND;2;2
2018;YSK;NOT FOUND;NOT FOUND;6;7
2018;YSS;NOT FOUND;NOT FOUND;1;1
2018;yt1;NOT FOUND;NOT FOUND;3;3
2018;yt3;NOT FOUND;NOT FOUND;1;1
2018;yte;NOT FOUND;NOT FOUND;2;2
2018;YTH;NOT FOUND;NOT FOUND;2;3
2018;yu1;VOLVO;850;2;3
2018;yu1;VOLVO;940;1;1
2018;YU1;VOLVO;S40 (04-);1;1
2018;YU1;VOLVO;S80 (-06);1;1
2018;yu1;VOLVO;S80 (07-);1;1
2018;YU1;VOLVO;S90;1;2
2018;yu1;VOLVO;XC90;1;1
2018;YV1;NOT FOUND;NOT FOUND;23;26
2018;YV1;VOLVO;240;1;4
2018;Yv1;VOLVO;740;13;22
2018;YV1;VOLVO;760;4;10
2018;yv1;VOLVO;850;122;407
2018;YV1;VOLVO;940;75;129
2018;YV1;VOLVO;960;19;32
2018;Yv1;VOLVO;C30;1;1
2018;yv1;VOLVO;C70 (06-);1;1
2018;YV1;VOLVO;C70 Conv (-05);1;1
2018;yv1;VOLVO;S40 (-04);71;146
2018;yv1;VOLVO;S40 (04-);32;81
2018;YV1;VOLVO;S60 (-09);72;176
2018;yv1;VOLVO;S60 (11-);1;1
2018;YV1;VOLVO;S70;33;64
2018;yv1;VOLVO;S80 (-06);102;285
2018;yv1;VOLVO;S80 (07-);34;72
2018;yv1;VOLVO;S90;6;9
2018;YV1;VOLVO;V40 (-04);32;69
2018;Yv1;VOLVO;V50;3;5
2018;YV1;VOLVO;V70 (-00);16;115
2018;yv1;VOLVO;V70 (00-08);16;22
2018;yv1;VOLVO;V70 (08-);11;15
2018;yv1;VOLVO;V70 XC (-00);14;22
2018;YV1;VOLVO;V70 XC (01-) / XC70 (-07);44;91
2018;YV1;VOLVO;XC60;5;33
2018;yv1;VOLVO;XC70 (08-);7;16
2018;yv1;VOLVO;XC90;195;787
2018;Yv2;NOT FOUND;NOT FOUND;56;81
2018;YV3;NOT FOUND;NOT FOUND;3;4
2018;YV4;VOLVO;V70 XC (01-) / XC70 (-07);5;7
2018;yv4;VOLVO;XC60;1;1
2018;yv4;VOLVO;XC90;17;25
2018;yvi;VOLVO;740;1;1
2018;YVI;VOLVO;850;6;13
2018;YVI;VOLVO;S60 (-09);1;1
2018;YVI;VOLVO;S70;3;13
2018;YVI;VOLVO;XC90;1;1
2018;yvt;NOT FOUND;NOT FOUND;1;1
2018;yvz;NOT FOUND;NOT FOUND;1;1
2018;YW1;NOT FOUND;NOT FOUND;2;2
2018;YW8;NOT FOUND;NOT FOUND;1;2
2018;yy1;NOT FOUND;NOT FOUND;1;2
2018;YY4;NOT FOUND;NOT FOUND;1;1
2018;Z02;NOT FOUND;NOT FOUND;1;1
2018;Z0X;NOT FOUND;NOT FOUND;2;2
2018;Z0z;NOT FOUND;NOT FOUND;8;16
2018;Z34;NOT FOUND;NOT FOUND;1;1
2018;Z35;NOT FOUND;NOT FOUND;1;1
2018;z3b;NOT FOUND;NOT FOUND;1;1
2018;z3n;NOT FOUND;NOT FOUND;2;4
2018;Z54;NOT FOUND;NOT FOUND;1;1
2018;z5n;NOT FOUND;NOT FOUND;1;2
2018;Z64;NOT FOUND;NOT FOUND;3;5
2018;Z6C;NOT FOUND;NOT FOUND;1;1
2018;Z6E;NOT FOUND;NOT FOUND;1;1
2018;Z6F;FORD;Ecosport CR1 2014-;32;54
2018;z6f;FORD;Edge/MKX TQ1;3;4
2018;z6f;FORD;Explorer TUB 2011-;3;3
2018;Z6F;FORD;Explorer TWJ 2013-;35;64
2018;z6f;FORD;Fiesta CCN 2013-;40;82
2018;Z6F;FORD;Focus CB8 2011-2015;33;54
2018;Z6F;FORD;Focus CEW 2014-;34;77
2018;Z6F;FORD;Kuga CBS 2013-;23;34
2018;Z6F;FORD;Kuga CBV 2008-2012;1;1
2018;z6f;FORD;Mondeo CNG 2014-;27;42
2018;z6f;FORD;S-MAX/Galaxy CA1 2006-2015;2;3
2018;z6f;FORD;Transit TT9 2006-2014;52;221
2018;Z6F;FORD;Transit TTG 2014-;40;75
2018;z6f;FORD;Transit/Tourneo Custom TTF 2012-;3;4
2018;Z6F;NOT FOUND;NOT FOUND;17;22
2018;z6n;NOT FOUND;NOT FOUND;1;1
2018;Z6S;NOT FOUND;NOT FOUND;1;1
2018;z74;NOT FOUND;NOT FOUND;1;3
2018;Z76;NOT FOUND;NOT FOUND;8;19
